reading,word,meaning
チガイ,違い,차이
チュウイ,注意,주의
チョウサ,調査,조사
ツウジル,通じる,통하다
ツヅケル,続ける,계속하다
ツタエル,伝える,전하다
ツツム,包む,"싸다, 감싸다"
テキトウ,適当,적당함
テツダウ,手伝う,돕다
トドク,届く,"도착하다, 닿다"
トドケル,届ける,전달하다
トメル,止める,멈추게 하다
ナオス,直す,고치다
ナオル,直る,고쳐지다
ナガメル,眺める,바라보다
ナクス,無くす,잃어버리다
ナレル,慣れる,익숙해지다
ニアウ,似合う,어울리다
ニゲル,逃げる,도망가다
ノコス,残す,남기다
ノコル,残る,남다
ノゾム,望む,바라다
ハズス,外す,"빼다, 벗기다"
ハッケン,発見,발견
ハッセイ,発生,발생
ハンタイ,反対,반대
ヒカク,比較,비교
ヒツヨウ,必要,필요
ヒョウゲン,表現,표현
フエル,増える,늘다
フヤス,増やす,늘리다
フセグ,防ぐ,"막다, 예방하다"
フマン,不満,불만
ヘラス,減らす,줄이다
ヘル,減る,줄다
ヘンカ,変化,변화
ホウコク,報告,보고
ホゾン,保存,"보존, 저장"
マカセル,任せる,맡기다
マチガウ,間違う,틀리다
マモル,守る,지키다
ミトメル,認める,인정하다
ムカエル,迎える,맞이하다
メイワク,迷惑,"폐, 민폐"
モドス,戻す,되돌리다
モドル,戻る,돌아가다
ヤクソク,約束,약속
ユズル,譲る,양보하다
ユルス,許す,"허락하다, 용서하다"
ヨウイ,用意,준비
ヨボウ,予防,예방
リカイ,理解,이해
リユウ,理由,이유
リヨウ,利用,이용
レンラク,連絡,연락
ワケル,分ける,나누다
ワラウ,笑う,웃다
